t,q_1,q_2,q_3,q_4,q_5,q_6,qd_1,qd_2,qd_3,qd_4,qd_5,qd_6,qdd_1,qdd_2,qdd_3,qdd_4,qdd_5,qdd_6
0.33,0,1.262562847,0,-1.210475412,-0.222775193,0,0,0.041629706,0,-1.018287651,8.064727106,0,0,-0.633788242,0,-1.018287651,8.064727106,0
0.34,0,1.262954393,0,-1.220859462,-0.219014364,0,0,0.035351367,0,-1.066729552,8.536429783,0,0,-0.755554522,0,-1.066729552,8.536429783,0
0.35,0,1.263277274,0,-1.231720534,-0.214275688,0,0,0.027652395,0,-1.113256948,9.007638819,0,0,-0.886022405,0,-1.113256948,9.007638819,0
0.36,0,1.263516858,0,-1.243039972,-0.20856248,0,0,0.018474242,0,-1.157823322,9.556443782,0,0,-1.027767111,0,-1.157823322,9.556443782,0
0.37,0,1.263658482,0,-1.254796304,-0.201883201,0,0,0.007768369,0,-1.200398222,9.867124864,0,0,-1.189397786,0,-1.200398222,9.867124864,0
0.38,0,1.263686687,0,-1.266969526,-0.194242398,0,0,-0.004517805,0,-1.240948315,9.986857692,0,0,-1.365298656,0,-1.240948315,9.986857692,0
0.39,0,1.263585498,0,-1.279539313,-0.185644418,0,0,-0.018435762,0,-1.279443993,10.10708007,0,0,-1.552588652,0,-1.279443993,10.10708007,0
0.4,0,1.263338022,0,-1.292485968,-0.176090987,0,0,-0.03409686,0,-1.317935189,10.22807031,0,0,-1.751578294,0,-1.317935189,10.22807031,0
0.41,0,1.262924188,0,-1.30586312,-0.165504894,0,0,-0.052060807,0,-1.364988955,10.35649565,0,0,-1.963173204,0,-1.364988955,10.35649565,0
0.42,0,1.262321601,0,-1.319698819,-0.153834934,0,0,-0.072291681,0,-1.409278834,10.57375009,0,0,-2.197128544,0,-1.409278834,10.57375009,0
0.43,0,1.261507316,0,-1.333965301,-0.14108593,0,0,-0.09486989,0,-1.450757738,10.79359109,0,0,-2.448046002,0,-1.450757738,10.79359109,0
0.44,0,1.26045759,0,-1.34863434,-0.127262362,0,0,-0.1198752,0,-1.489381016,11.01076516,0,0,-2.71624656,0,-1.489381016,11.01076516,0
0.45,0,1.259147082,0,-1.363678241,-0.112365356,0,0,-0.147394339,0,-1.525096946,11.06689764,0,0,-2.995988803,0,-1.525096946,11.06689764,0
0.46,0,1.257548405,0,-1.37908293,-0.096381039,0,0,-0.17813685,0,-1.563059332,11.2085453,0,0,-3.303443162,0,-1.563059332,11.2085453,0
0.47,0,1.255628883,0,-1.394867601,-0.079257597,0,0,-0.212074467,0,-1.599569552,11.35812415,0,0,-3.629525588,0,-1.599569552,11.35812415,0
0.48,0,1.253357622,0,-1.411002609,-0.060993665,0,0,-0.249123774,0,-1.632600496,11.50897533,0,0,-3.973753973,0,-1.632600496,11.50897533,0
0.49,0,1.250703168,0,-1.427452976,-0.041592765,0,0,-0.289385715,0,-1.662085903,11.61911799,0,0,-4.327174914,0,-1.662085903,11.61911799,0
0.5,0,1.247629905,0,-1.444192771,-0.021043827,0,0,-0.333764754,0,-1.691811594,11.63796636,0,0,-4.682668083,0,-1.691811594,11.63796636,0
0.51,0,1.244093418,0,-1.461230902,0.000706455,0,0,-0.382367198,0,-1.719877841,11.61859017,0,0,-5.045952928,0,-1.719877841,11.61859017,0
0.52,0,1.240055384,0,-1.478531861,0.023659637,0,0,-0.434881918,0,-1.743701636,11.58547907,0,0,-5.416215519,0,-1.743701636,11.58547907,0
0.53,0,1.235476426,0,-1.496052352,0.047811794,0,0,-0.491101682,0,-1.762019051,11.54176735,0,0,-5.793257395,0,-1.762019051,11.54176735,0
0.54,0,1.230325235,0,-1.513718096,0.073119476,0,0,-0.55016947,0,-1.772268324,11.45293904,0,0,-6.171843132,0,-1.772268324,11.45293904,0
0.55,0,1.224565947,0,-1.531469281,0.099559959,0,0,-0.613145899,0,-1.778319681,11.28581051,0,0,-6.538024854,0,-1.778319681,11.28581051,0
0.56,0,1.218159605,0,-1.549262946,0.12712884,0,0,-0.679969824,0,-1.779670205,11.11102763,0,0,-6.904093317,0,-1.779670205,11.11102763,0
0.57,0,1.211071364,0,-1.567046583,0.15580651,0,0,-0.750402379,0,-1.775657421,10.92762721,0,0,-7.268059554,0,-1.775657421,10.92762721,0
